epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5628,2.54298,5.61272,1.9816,0.36461,0.39272,0.25993,0.0778,2.39024,3.93672,1.72019,0.000414326,0.000414326,0.000414326
2,121.481,2.34749,3.63191,1.74229,0.38443,0.43496,0.35237,0.12825,2.23739,2.28927,1.77631,0.000830942,0.000830942,0.000830942
3,175.77,2.31968,2.82323,1.75531,0.43645,0.49915,0.37346,0.14156,2.17802,2.46644,1.77398,0.00124735,0.00124735,0.00124735
4,229.626,2.26302,2.41038,1.75817,0.38673,0.50523,0.37281,0.13035,2.19696,2.50882,1.73952,0.00124931,0.00124931,0.00124931
5,283.492,2.24109,2.24269,1.6943,0.41281,0.49538,0.38705,0.14479,2.26049,2.07014,1.81567,0.00124878,0.00124878,0.00124878
6,337.991,2.16505,2.10809,1.66729,0.47171,0.51362,0.4112,0.16594,2.11584,2.16076,1.69065,0.00124809,0.00124809,0.00124809
7,391.89,2.17107,2.06977,1.69208,0.53374,0.57983,0.49832,0.20041,2.08552,1.89638,1.68381,0.00124725,0.00124725,0.00124725
8,447.559,2.12818,1.95169,1.65735,0.45007,0.53301,0.45995,0.16286,2.23363,1.84631,1.8274,0.00124626,0.00124626,0.00124626
9,504.18,2.11989,1.89017,1.65082,0.44146,0.55995,0.47264,0.17888,2.11508,1.98891,1.68859,0.00124512,0.00124512,0.00124512
10,561.048,2.08831,1.87434,1.65488,0.61811,0.55125,0.52159,0.20385,2.09093,1.67797,1.68239,0.00124383,0.00124383,0.00124383
11,618.338,2.08165,1.81881,1.64865,0.53549,0.5883,0.52354,0.19828,2.1267,1.68006,1.73175,0.00124238,0.00124238,0.00124238
12,675.194,2.05188,1.80721,1.60026,0.52348,0.62464,0.51848,0.20317,2.12732,1.63203,1.71553,0.00124079,0.00124079,0.00124079
13,730.94,2.05996,1.79101,1.61992,0.60236,0.60261,0.54629,0.21661,2.10756,1.53108,1.66695,0.00123904,0.00123904,0.00123904
14,786.064,2.05719,1.75753,1.59549,0.47821,0.61692,0.49542,0.19926,2.12953,1.62743,1.71511,0.00123714,0.00123714,0.00123714
15,841.076,2.0347,1.72059,1.60794,0.56474,0.61435,0.55646,0.22249,2.08491,1.59219,1.70657,0.0012351,0.0012351,0.0012351
16,896.226,2.02191,1.7004,1.59829,0.53025,0.60869,0.54244,0.22442,2.0577,1.64664,1.67293,0.0012329,0.0012329,0.0012329
17,951.416,2.01623,1.65728,1.5729,0.52502,0.63875,0.5038,0.19225,2.1695,1.55968,1.73014,0.00123056,0.00123056,0.00123056
18,1007.07,1.99503,1.65868,1.57062,0.49602,0.61065,0.52434,0.20643,2.08733,1.65107,1.69076,0.00122807,0.00122807,0.00122807
19,1063.79,1.99608,1.61982,1.58159,0.55109,0.64338,0.57207,0.21523,2.11101,1.57531,1.68612,0.00122543,0.00122543,0.00122543
20,1119.8,1.96575,1.59885,1.54902,0.49148,0.65583,0.53675,0.21033,2.14054,1.57511,1.70572,0.00122265,0.00122265,0.00122265
21,1175.2,1.95287,1.56794,1.54158,0.51727,0.65859,0.53411,0.19889,2.09069,1.56946,1.71466,0.00121972,0.00121972,0.00121972
22,1232.28,1.93263,1.52201,1.52437,0.53779,0.60975,0.55453,0.23453,2.07534,1.5138,1.67471,0.00121664,0.00121664,0.00121664
23,1289.16,1.94579,1.56565,1.53923,0.5509,0.64871,0.57564,0.25076,2.045,1.44164,1.6497,0.00121342,0.00121342,0.00121342
24,1347.96,1.9072,1.53017,1.50305,0.61347,0.69373,0.5976,0.26299,2.01346,1.42342,1.6171,0.00121006,0.00121006,0.00121006
25,1405.47,1.92696,1.51739,1.51498,0.58181,0.62915,0.57017,0.21244,2.14338,1.50245,1.68023,0.00120655,0.00120655,0.00120655
26,1459.61,1.91252,1.50376,1.49969,0.51512,0.64782,0.55165,0.20905,2.16148,1.48289,1.7041,0.0012029,0.0012029,0.0012029
27,1513.34,1.88056,1.48102,1.49409,0.5958,0.67361,0.59007,0.24743,2.04837,1.45436,1.64658,0.00119911,0.00119911,0.00119911
28,1567.19,1.87079,1.46113,1.48864,0.56477,0.65002,0.56593,0.23702,2.09271,1.39532,1.6732,0.00119518,0.00119518,0.00119518
29,1620.84,1.85123,1.44169,1.47598,0.63566,0.69675,0.57767,0.23379,2.07948,1.47495,1.65537,0.00119111,0.00119111,0.00119111
30,1675.74,1.88611,1.46407,1.48248,0.57168,0.65214,0.56587,0.22598,2.16149,1.43317,1.67816,0.0011869,0.0011869,0.0011869
31,1732.12,1.8601,1.45195,1.46896,0.55322,0.6849,0.57633,0.24261,2.06743,1.52607,1.64868,0.00118256,0.00118256,0.00118256
32,1788.46,1.84787,1.41483,1.46566,0.56,0.63948,0.55291,0.25244,2.01738,1.45556,1.62545,0.00117808,0.00117808,0.00117808
33,1844.74,1.8281,1.40004,1.46684,0.58553,0.65425,0.5633,0.22858,2.13737,1.42012,1.70818,0.00117346,0.00117346,0.00117346
34,1901.31,1.81706,1.38073,1.4576,0.57563,0.67605,0.58791,0.23767,2.11963,1.42737,1.71387,0.00116872,0.00116872,0.00116872
35,1957.75,1.84623,1.37655,1.46093,0.5893,0.66097,0.56697,0.223,2.17226,1.43701,1.70725,0.00116383,0.00116383,0.00116383
36,2014.2,1.80182,1.37217,1.43634,0.57505,0.65444,0.55808,0.25762,2.02679,1.37289,1.62942,0.00115882,0.00115882,0.00115882
37,2070.38,1.79724,1.35226,1.43912,0.61655,0.67894,0.57342,0.24338,2.04682,1.38906,1.64782,0.00115368,0.00115368,0.00115368
38,2127.48,1.79591,1.31352,1.44222,0.57873,0.66031,0.57425,0.2752,1.99263,1.39447,1.62067,0.00114841,0.00114841,0.00114841
39,2181.34,1.7855,1.33601,1.42934,0.56571,0.66803,0.57827,0.24981,2.05928,1.37619,1.65237,0.00114301,0.00114301,0.00114301
40,2235.01,1.7761,1.32656,1.42806,0.56535,0.65648,0.57409,0.25152,2.08331,1.39301,1.66629,0.00113748,0.00113748,0.00113748
41,2288.69,1.76525,1.29383,1.40607,0.58404,0.67326,0.57303,0.26199,2.04807,1.35955,1.64564,0.00113183,0.00113183,0.00113183
42,2345.91,1.77364,1.32352,1.43241,0.52303,0.65719,0.57416,0.22392,2.14638,1.41246,1.69562,0.00112605,0.00112605,0.00112605
43,2402.32,1.7483,1.28441,1.40162,0.56017,0.67923,0.58159,0.2458,2.07316,1.34842,1.67715,0.00112016,0.00112016,0.00112016
44,2457.88,1.75379,1.26276,1.41345,0.5693,0.63395,0.56691,0.25176,2.09001,1.31181,1.66402,0.00111414,0.00111414,0.00111414
45,2513.56,1.74591,1.29616,1.40177,0.57373,0.65329,0.58005,0.25942,2.06578,1.34172,1.64759,0.00110801,0.00110801,0.00110801
46,2569.05,1.71499,1.23728,1.37869,0.61403,0.67704,0.59701,0.25168,2.08899,1.36234,1.67551,0.00110175,0.00110175,0.00110175
47,2624.68,1.73847,1.26524,1.39455,0.5697,0.62852,0.58202,0.28077,2.02352,1.3216,1.66312,0.00109538,0.00109538,0.00109538
48,2680.5,1.73109,1.24297,1.40635,0.53709,0.66124,0.5531,0.26062,2.0461,1.34138,1.66787,0.0010889,0.0010889,0.0010889
49,2736.02,1.70314,1.21499,1.3771,0.55531,0.67848,0.5779,0.23722,2.1099,1.364,1.6642,0.0010823,0.0010823,0.0010823
50,2791.56,1.72625,1.25858,1.38714,0.61345,0.66156,0.58317,0.26612,2.04123,1.33085,1.64339,0.00107559,0.00107559,0.00107559
51,2847.11,1.72097,1.21059,1.38143,0.57641,0.65107,0.55176,0.2627,2.00805,1.34996,1.618,0.00106877,0.00106877,0.00106877
52,2902.75,1.70438,1.22057,1.36308,0.49815,0.61636,0.5386,0.25091,2.04599,1.36473,1.65453,0.00106185,0.00106185,0.00106185
53,2958.65,1.68717,1.20048,1.37132,0.57504,0.68882,0.59008,0.26166,2.05577,1.33271,1.65394,0.00105481,0.00105481,0.00105481
54,3014.63,1.7017,1.1972,1.37439,0.55893,0.65968,0.56919,0.27058,2.01747,1.32965,1.6444,0.00104768,0.00104768,0.00104768
55,3070.42,1.68187,1.20703,1.36288,0.55565,0.62457,0.55275,0.24383,2.11805,1.36305,1.67848,0.00104044,0.00104044,0.00104044
56,3126.59,1.67217,1.19182,1.36109,0.57163,0.66,0.54741,0.24489,2.08723,1.3488,1.68871,0.0010331,0.0010331,0.0010331
57,3182.72,1.67105,1.17065,1.34868,0.59876,0.65588,0.58769,0.26312,2.09193,1.29084,1.67323,0.00102566,0.00102566,0.00102566
58,3238.27,1.66278,1.18307,1.35021,0.57764,0.6791,0.58167,0.26825,2.05103,1.28701,1.65559,0.00101812,0.00101812,0.00101812
59,3291.89,1.64243,1.15963,1.33531,0.57262,0.63467,0.57643,0.25792,2.05052,1.27831,1.6305,0.00101049,0.00101049,0.00101049
60,3345.37,1.6643,1.17954,1.34841,0.5908,0.65207,0.58702,0.27163,2.02397,1.30689,1.62752,0.00100276,0.00100276,0.00100276
61,3398.29,1.64352,1.17069,1.33984,0.60836,0.61711,0.58019,0.25974,2.05536,1.28797,1.65039,0.000994942,0.000994942,0.000994942
62,3451.66,1.64553,1.16632,1.34719,0.57771,0.66122,0.56673,0.27491,2.02878,1.30981,1.65035,0.000987034,0.000987034,0.000987034
63,3506.48,1.63442,1.16593,1.33776,0.55731,0.6736,0.57208,0.2719,2.02437,1.27317,1.65248,0.000979039,0.000979039,0.000979039
64,3562.33,1.63181,1.13691,1.32313,0.54524,0.66512,0.55933,0.26326,2.023,1.32463,1.64276,0.000970958,0.000970958,0.000970958
65,3615.29,1.63143,1.14933,1.33008,0.59325,0.66784,0.57221,0.26954,2.01204,1.28783,1.62251,0.000962793,0.000962793,0.000962793
66,3668.47,1.6128,1.13177,1.31394,0.57191,0.69039,0.59048,0.27734,2.01875,1.29659,1.64826,0.000954546,0.000954546,0.000954546
67,3721.36,1.64651,1.15313,1.3341,0.62127,0.68977,0.59934,0.26701,2.04885,1.265,1.65668,0.000946219,0.000946219,0.000946219
68,3774.44,1.603,1.12751,1.31463,0.61963,0.67929,0.58334,0.2718,2.00746,1.26406,1.62002,0.000937815,0.000937815,0.000937815
69,3827.51,1.61394,1.11855,1.31211,0.60125,0.70968,0.61106,0.26583,2.06777,1.28633,1.66064,0.000929335,0.000929335,0.000929335
70,3881.08,1.58006,1.09314,1.30127,0.5916,0.65275,0.59391,0.28399,1.99042,1.24557,1.61016,0.000920782,0.000920782,0.000920782
71,3935.93,1.6013,1.11206,1.31426,0.56454,0.67384,0.58303,0.27322,2.03124,1.27144,1.65582,0.000912157,0.000912157,0.000912157
72,3991.72,1.60825,1.12058,1.32002,0.59095,0.66827,0.59179,0.26655,2.06972,1.26555,1.66751,0.000903462,0.000903462,0.000903462
73,4045.66,1.60008,1.09134,1.31757,0.5774,0.71119,0.60512,0.27701,2.02661,1.27021,1.65387,0.000894701,0.000894701,0.000894701
74,4099.03,1.58096,1.09513,1.30623,0.59838,0.6891,0.61835,0.28152,2.0236,1.26862,1.64865,0.000885875,0.000885875,0.000885875
75,4152.54,1.58207,1.10103,1.29993,0.60477,0.65976,0.62777,0.27539,2.07208,1.24989,1.66724,0.000876985,0.000876985,0.000876985
76,4206.12,1.56025,1.07471,1.29595,0.58509,0.72259,0.61563,0.26806,2.05534,1.26666,1.65853,0.000868035,0.000868035,0.000868035
77,4261.05,1.57962,1.09233,1.30181,0.60439,0.65076,0.61395,0.27252,2.06357,1.24298,1.67526,0.000859027,0.000859027,0.000859027
78,4316.81,1.57886,1.09052,1.30062,0.6135,0.6955,0.61332,0.27557,2.07506,1.27223,1.67199,0.000849963,0.000849963,0.000849963
79,4371.69,1.59234,1.09173,1.30807,0.55645,0.69468,0.60129,0.28503,2.02629,1.24733,1.66183,0.000840844,0.000840844,0.000840844
80,4427.61,1.5784,1.08317,1.29452,0.6272,0.68769,0.62724,0.28269,2.0437,1.26196,1.64204,0.000831674,0.000831674,0.000831674
81,4482.74,1.53787,1.04201,1.27864,0.6025,0.6779,0.60648,0.2866,2.02779,1.24424,1.65664,0.000822454,0.000822454,0.000822454
82,4538.03,1.54251,1.04043,1.28522,0.58972,0.69586,0.62041,0.29213,2.02117,1.24322,1.64116,0.000813187,0.000813187,0.000813187
83,4593.59,1.5414,1.03664,1.26975,0.57859,0.70047,0.6077,0.28797,2.02618,1.22671,1.64727,0.000803876,0.000803876,0.000803876
84,4648.93,1.54496,1.04078,1.27212,0.60122,0.65672,0.59217,0.2829,2.02776,1.26998,1.64608,0.000794521,0.000794521,0.000794521
85,4704.25,1.53758,1.04323,1.27869,0.61196,0.67664,0.60704,0.27987,2.04472,1.25413,1.66927,0.000785127,0.000785127,0.000785127
86,4759.66,1.52156,1.05067,1.2717,0.60459,0.6931,0.61307,0.2673,2.07685,1.2595,1.66907,0.000775694,0.000775694,0.000775694
87,4814.94,1.52356,1.03286,1.26888,0.60052,0.65278,0.57771,0.27068,2.06533,1.2774,1.66779,0.000766226,0.000766226,0.000766226
88,4870.23,1.49124,1.00295,1.24188,0.61625,0.68084,0.62614,0.29468,2.01313,1.23163,1.65388,0.000756725,0.000756725,0.000756725
89,4925.66,1.49784,1.00835,1.25556,0.62494,0.66733,0.63497,0.29428,2.02149,1.21658,1.63598,0.000747192,0.000747192,0.000747192
90,4981.05,1.49375,1.02229,1.25134,0.59323,0.7328,0.6323,0.28119,2.03906,1.23926,1.63643,0.000737631,0.000737631,0.000737631
91,5036.32,1.51212,1.02055,1.25342,0.61732,0.67791,0.61788,0.29051,2.03116,1.24058,1.65671,0.000728044,0.000728044,0.000728044
92,5091.41,1.5102,1.01188,1.25835,0.60714,0.68237,0.62202,0.28972,2.00955,1.20243,1.6366,0.000718433,0.000718433,0.000718433
93,5146.32,1.48987,1.00414,1.25294,0.63156,0.67715,0.62724,0.29034,2.01898,1.23338,1.66254,0.0007088,0.0007088,0.0007088
94,5201.48,1.48914,1.00698,1.2514,0.64529,0.70293,0.62267,0.28147,2.0274,1.24539,1.6452,0.000699148,0.000699148,0.000699148
95,5256.54,1.47121,0.98753,1.23569,0.6137,0.69196,0.6278,0.29408,2.02174,1.23115,1.67005,0.00068948,0.00068948,0.00068948
96,5311.72,1.48288,0.99335,1.24821,0.6057,0.68644,0.63066,0.2882,2.03055,1.20723,1.66249,0.000679797,0.000679797,0.000679797
97,5366.8,1.48613,1.00482,1.24967,0.60434,0.72549,0.62444,0.2837,2.04827,1.21458,1.66455,0.000670102,0.000670102,0.000670102
98,5421.84,1.48043,0.97547,1.24303,0.58111,0.68994,0.60574,0.28318,2.01758,1.22548,1.65772,0.000660397,0.000660397,0.000660397
99,5476.78,1.46648,0.9704,1.23452,0.64007,0.71153,0.64531,0.283,2.07762,1.21545,1.66702,0.000650685,0.000650685,0.000650685
100,5531.89,1.4648,0.96908,1.22665,0.63401,0.68224,0.63103,0.28258,2.05735,1.20781,1.6649,0.000640969,0.000640969,0.000640969
101,5587.2,1.47408,1.00062,1.24924,0.59517,0.69575,0.62792,0.28725,2.04961,1.19758,1.67421,0.00063125,0.00063125,0.00063125
