epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1963.07,1.69162,1.19851,1.33179,0.54703,0.62943,0.54374,0.24231,2.07513,1.39523,1.63574,0.00103555,0.00103555,0.00103555
43,2009.44,1.70038,1.1991,1.33488,0.54669,0.64401,0.54679,0.25402,2.05998,1.29562,1.6314,0.00102566,0.00102566,0.00102566
44,2055.72,1.69739,1.18453,1.33974,0.60496,0.65623,0.57273,0.25978,2.0462,1.30514,1.5921,0.00101559,0.00101559,0.00101559
45,2101.71,1.68314,1.18502,1.32329,0.56496,0.65122,0.56299,0.25747,2.05398,1.32964,1.617,0.00100535,0.00100535,0.00100535
46,2147.82,1.68625,1.18225,1.3287,0.56813,0.65833,0.57657,0.26331,2.03534,1.32368,1.6233,0.000994942,0.000994942,0.000994942
47,2194.2,1.66904,1.1589,1.32088,0.56625,0.64385,0.57249,0.26456,2.03709,1.28454,1.61103,0.000984379,0.000984379,0.000984379
48,2240.65,1.67187,1.17415,1.33718,0.54503,0.63391,0.54517,0.26204,2.01534,1.32376,1.61492,0.000973661,0.000973661,0.000973661
49,2286.84,1.63936,1.13294,1.29873,0.56762,0.63241,0.57042,0.27486,2.047,1.29985,1.62692,0.000962793,0.000962793,0.000962793
50,2333.14,1.64596,1.13683,1.31626,0.60354,0.65063,0.57056,0.25971,2.07447,1.29674,1.64069,0.000951779,0.000951779,0.000951779
51,2379.26,1.61284,1.09956,1.29514,0.58985,0.59369,0.54633,0.25369,2.06781,1.27281,1.62941,0.000940625,0.000940625,0.000940625
52,2425.61,1.63828,1.13289,1.30185,0.60796,0.61158,0.57825,0.27263,2.05467,1.30424,1.63599,0.000929335,0.000929335,0.000929335
53,2471.7,1.61809,1.11379,1.29055,0.59894,0.63456,0.57206,0.27273,2.00746,1.29778,1.58743,0.000917914,0.000917914,0.000917914
54,2517.99,1.60746,1.09962,1.28797,0.5691,0.64865,0.56855,0.25895,2.05383,1.31879,1.61255,0.000906368,0.000906368,0.000906368
55,2564.22,1.61384,1.10538,1.28648,0.62205,0.63367,0.56918,0.26793,2.03793,1.28194,1.60787,0.000894701,0.000894701,0.000894701
56,2610.49,1.5901,1.09596,1.27987,0.55902,0.64412,0.54902,0.27152,2.04899,1.28066,1.62592,0.000882918,0.000882918,0.000882918
57,2656.73,1.60625,1.10044,1.28528,0.57051,0.6281,0.57189,0.27316,2.02337,1.31154,1.60166,0.000871025,0.000871025,0.000871025
58,2703.07,1.57141,1.07026,1.26778,0.56671,0.62348,0.56309,0.2649,2.03477,1.30002,1.60395,0.000859027,0.000859027,0.000859027
59,2749.15,1.57711,1.07989,1.26271,0.58924,0.66226,0.56753,0.2724,2.05039,1.29496,1.61948,0.000846929,0.000846929,0.000846929
60,2795.48,1.58664,1.07614,1.26679,0.5845,0.64716,0.5541,0.27535,2.04266,1.27667,1.61053,0.000834736,0.000834736,0.000834736
61,2841.81,1.59609,1.08616,1.28081,0.58312,0.62166,0.55934,0.27217,2.03898,1.27141,1.60968,0.000822454,0.000822454,0.000822454
62,2888.23,1.58048,1.0612,1.27359,0.55908,0.65088,0.56307,0.27233,2.04888,1.24031,1.62884,0.000810088,0.000810088,0.000810088
63,2934.68,1.5717,1.04843,1.26156,0.6199,0.63898,0.59176,0.2765,2.03667,1.26535,1.60262,0.000797644,0.000797644,0.000797644
64,2981.06,1.54793,1.03547,1.25176,0.53375,0.66087,0.53852,0.26917,2.02634,1.29222,1.6001,0.000785127,0.000785127,0.000785127
65,3027.49,1.54837,1.05811,1.24886,0.58129,0.64365,0.56939,0.27195,2.03867,1.24163,1.6013,0.000772542,0.000772542,0.000772542
66,3073.84,1.51315,1.01765,1.22953,0.61357,0.64294,0.58253,0.26771,2.04231,1.24546,1.58613,0.000759895,0.000759895,0.000759895
67,3120.25,1.53971,1.03003,1.2511,0.56104,0.61808,0.54505,0.26791,2.04347,1.29037,1.61114,0.000747192,0.000747192,0.000747192
68,3166.63,1.52778,1.01395,1.23702,0.55951,0.63692,0.54833,0.2671,2.05087,1.27047,1.62506,0.000734438,0.000734438,0.000734438
69,3212.87,1.51551,1.0181,1.23224,0.56002,0.65197,0.56188,0.26996,2.06525,1.24621,1.61138,0.000721639,0.000721639,0.000721639
70,3259.29,1.52166,1.01788,1.23606,0.58857,0.61943,0.56754,0.2718,2.06479,1.23288,1.62612,0.0007088,0.0007088,0.0007088
71,3305.64,1.50084,1.0055,1.21732,0.55175,0.61763,0.55184,0.27027,2.04941,1.28253,1.63801,0.000695927,0.000695927,0.000695927
72,3351.95,1.51276,1.00318,1.21999,0.57911,0.62844,0.58451,0.27283,2.07055,1.25986,1.62808,0.000683026,0.000683026,0.000683026
73,3398.26,1.50853,0.99384,1.23052,0.62756,0.61357,0.58149,0.26955,2.05182,1.25587,1.61707,0.000670102,0.000670102,0.000670102
74,3444.57,1.47626,0.95801,1.21567,0.56322,0.67063,0.57309,0.27444,2.05531,1.23924,1.61138,0.000657161,0.000657161,0.000657161
75,3490.79,1.48276,0.96047,1.21279,0.62094,0.66112,0.59264,0.27713,2.06788,1.22015,1.63,0.000644208,0.000644208,0.000644208
76,3537.2,1.49735,0.98116,1.22233,0.60238,0.64005,0.58733,0.28696,2.02165,1.22068,1.60112,0.00063125,0.00063125,0.00063125
77,3583.6,1.46054,0.94989,1.19935,0.60174,0.65599,0.58533,0.28076,2.06863,1.22588,1.62248,0.000618292,0.000618292,0.000618292
78,3630.16,1.45981,0.95551,1.20049,0.54978,0.68082,0.57042,0.28,2.067,1.24013,1.61807,0.000605339,0.000605339,0.000605339
79,3676.52,1.46484,0.95097,1.19995,0.63697,0.63757,0.59485,0.28263,2.04463,1.22671,1.60051,0.000592398,0.000592398,0.000592398
80,3722.92,1.46927,0.96219,1.20826,0.60243,0.64056,0.58601,0.29536,2.03361,1.22603,1.59615,0.000579474,0.000579474,0.000579474
81,3769.47,1.4484,0.96291,1.19855,0.59037,0.64681,0.56714,0.27057,2.04596,1.24336,1.60908,0.000566573,0.000566573,0.000566573
