epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4558,2.4502,6.8357,2.00351,0.30698,0.26937,0.25402,0.11255,2.30514,4.47869,1.88726,0.00330864,0.00330864,0.00330864
2,92.258,2.25535,4.75363,1.77892,0.42559,0.40483,0.34268,0.13899,2.21378,3.10765,1.84854,0.0066418,0.0066418,0.0066418
3,134.58,2.2424,3.61794,1.74799,0.44797,0.25093,0.18793,0.06399,2.36556,3.88399,2.03824,0.00997423,0.00997423,0.00997423
4,176.129,2.27969,3.00724,1.81431,0.43843,0.06672,0.0512,0.01661,2.95222,4.7864,2.45811,0.00999756,0.00999756,0.00999756
5,219.455,2.2472,2.58444,1.78131,0.44369,0.4117,0.34643,0.15031,2.15357,2.24689,1.75024,0.00999566,0.00999566,0.00999566
6,261.457,2.19164,2.39284,1.76615,0.38217,0.27789,0.26639,0.10249,2.29138,2.69468,1.92694,0.00999322,0.00999322,0.00999322
7,302.492,2.14855,2.19675,1.69863,0.63374,0.44947,0.39088,0.16414,2.14254,2.16567,1.75295,0.00999023,0.00999023,0.00999023
8,343.578,2.13202,2.11083,1.70209,0.64226,0.40698,0.42479,0.17978,2.1282,2.05731,1.7573,0.00998671,0.00998671,0.00998671
9,384.534,2.12479,2.08751,1.72351,0.42856,0.48256,0.4556,0.21379,2.07071,1.90649,1.74518,0.00998264,0.00998264,0.00998264
10,425.651,2.09137,1.97983,1.66807,0.5052,0.47915,0.48172,0.20941,2.05548,1.83294,1.72453,0.00997803,0.00997803,0.00997803
11,466.546,2.08097,2.00842,1.66969,0.44532,0.45691,0.40005,0.16882,2.08133,1.92029,1.72263,0.00997288,0.00997288,0.00997288
12,509.477,2.0759,1.96644,1.67797,0.50596,0.48205,0.45085,0.21001,2.02875,1.85744,1.74249,0.0099672,0.0099672,0.0099672
13,552.508,2.04108,1.87256,1.63705,0.5057,0.53375,0.47266,0.22121,2.02641,1.7539,1.67577,0.00996097,0.00996097,0.00996097
14,595.711,2.05936,1.88262,1.64456,0.45297,0.60974,0.50419,0.24198,1.98496,1.67673,1.67997,0.0099542,0.0099542,0.0099542
15,639.115,2.01986,1.79792,1.63363,0.58842,0.56381,0.53454,0.25622,1.97195,1.63017,1.61503,0.0099469,0.0099469,0.0099469
16,682.487,2.0393,1.847,1.62985,0.50499,0.59938,0.54534,0.2697,1.96554,1.62685,1.64883,0.00993906,0.00993906,0.00993906
17,726.154,2.02788,1.80153,1.61592,0.52265,0.56908,0.47637,0.22212,2.03639,1.68254,1.70912,0.00993068,0.00993068,0.00993068
18,769.072,1.97857,1.76522,1.59713,0.51066,0.51355,0.49289,0.22658,2.025,1.70485,1.74193,0.00992177,0.00992177,0.00992177
19,812.318,1.96898,1.73116,1.59781,0.53099,0.54688,0.52482,0.25995,1.97934,1.54597,1.66353,0.00991232,0.00991232,0.00991232
20,855.615,1.96276,1.73272,1.57661,0.70475,0.48671,0.50065,0.24263,2.03861,1.73403,1.65962,0.00990234,0.00990234,0.00990234
